EPCI;LIBEPCI;DEP
243301389;Communauté de communes Médullienne;33
243301264;Communauté de communes de Montesquieu;33
200043974;Communauté de communes du Sud Gironde;33
243301215;Communauté de communes du Créonnais;33
243301405;Communauté de communes du Val de l'Eyre;33
243301439;Communauté de communes des Portes de l'Entre-Deux-Mers;33
200023794;Communauté de communes de Blaye;33
200069995;Communauté de communes Médoc Cœur de Presqu'île;33
243301249;Communauté de communes Les Rives de la Laurence;33
243301355;Communauté de communes Les Coteaux Bordelais;33
243301454;Communauté de communes Castillon/Pujols;33
243301165;Communauté de communes Jalle-Eau-Bourde;33
200070720;Communauté de communes Médoc Atlantique;33
243301181;Communauté de communes Latitude Nord Gironde;33
200071058;Communauté de communes Les Avant-Monts;34
243400819;Communauté d'agglomération Hérault-Méditerranée;34
200066348;Communauté de communes du Minervois au Caroux;34
243400736;Communauté de communes des Cévennes Gangeoises et Suménoises;34
200042646;Communauté de communes Grand Orb communauté de communes en Languedoc;34
243400769;Communauté d'agglomération de Béziers-Méditerranée;34
243400694;Communauté de communes Vallée de l'Hérault;34
243400355;Communauté de communes du Clermontais;34
200022986;Communauté de communes du Grand Pic Saint-Loup;34
200042653;Communauté de communes Sud-Hérault;34
243400017;Montpellier Méditerranée Métropole;34
200066355;Communauté d'agglomération Sète Agglopôle Méditerranée;34
243400520;Communauté d'agglomération Lunel Agglo;34
200017341;Communauté de communes Lodévois et Larzac;34
243400470;Communauté d'agglomération du Pays de l'Or;34
243400488;Communauté de communes La Domitienne;34
243500139;Rennes Métropole;35
243500634;Communauté de communes Roche aux Fées Communauté;35
243500667;Communauté de communes Val d'Ille-Aubigné;35
200070688;Communauté de communes Couesnon Marches de Bretagne;35
200039022;Communauté d'agglomération Vitré Communauté;35
200070670;Communauté de communes du Pays de Dol et de la Baie du Mont Saint-Michel;35
200070662;Communauté de communes Bretagne porte de Loire Communauté;35
243500741;Communauté d'agglomération Redon Agglomération;35
200043990;Communauté de communes Vallons de Haute-Bretagne Communauté;35
243500733;Communauté de communes Bretagne Romantique;35
200072452;Communauté d'agglomération Fougères Agglomération;35
243500550;Communauté de communes Montfort Communauté;35
200038990;Communauté de communes de Saint-Méen Montauban;35
243500774;Communauté de communes Liffré-Cormier Communauté;35
243500618;Communauté de communes Brocéliande Communauté;35
243500782;Communauté d'agglomération du Pays de Saint Malo Agglomération;35
243500659;Communauté de communes Pays de Châteaugiron Communauté;35
243500725;Communauté de communes Côte d'Émeraude;35
200007052;Communauté de communes de la Marche Berrichonne;36
200068880;Communauté de communes Champagne Boischauts;36
243600202;Communauté de communes Chabris - Pays de Bazelle;36
243600327;Communauté d'agglomération Châteauroux Métropole;36
200068872;Communauté de communes Éguzon - Argenton - Vallée de la Creuse;36
243600301;Communauté de communes Val de l'Indre - Brenne;36
200035848;Communauté de communes du Châtillonnais en Berry;36
243600343;Communauté de communes Cœur de Brenne;36
243600293;Communauté de communes Levroux Boischaut Champagne;36
200035137;Communauté de communes Marche Occitane - Val d'Anglin;36
243600350;Communauté de communes de la Châtre et Sainte-Sévère;36
243600319;Communauté de communes Brenne - Val de Creuse;36
243600236;Communauté de communes du Pays d'Issoudun;36
200018521;Communauté de communes du Val de Bouzanne;36
200040558;Communauté de communes Écueillé-Valençay;36
200071587;Communauté de communes Loches Sud Touraine;37
200072981;Communauté de communes Touraine Ouest Val de Loire;37
200043065;Communauté de communes du Val d'Amboise;37
200043081;Communauté de communes Chinon, Vienne et Loire;37
200072668;Communauté de communes Touraine Val de Vienne;37
200072650;Communauté de communes Touraine Vallée de l'Indre;37
243700820;Communauté de communes Autour de Chenonceaux Bléré-Val de Cher;37
243700499;Communauté de communes du Castelrenaudais;37
200073161;Communauté de communes Touraine-Est Vallées;37
243700754;Tours Métropole Val de Loire;37
200073237;Communauté de communes de Gâtine-Racan;37
200068567;Communauté de communes Les Vals du Dauphiné;38
200018166;Communauté de communes Le Grésivaudan;38
200085751;Communauté de communes Entre Bièvre et Rhône;38
200070431;Communauté de communes Saint-Marcellin Vercors Isère Communauté;38
243800745;Communauté de communes de l'Oisans;38
200040657;Communauté de communes de la Matheysine;38
200068542;Communauté de communes Les Balcons du Dauphiné;38
243800935;Communauté de communes Lyon Saint Exupéry en Dauphiné;38
243801073;Communauté de communes de Bièvre Est;38
200059392;Communauté de communes Bièvre Isère;38
200030658;Communauté de communes du Trièves;38
243800984;Communauté d'agglomération du Pays Voironnais;38
243801255;Communauté de communes Collines Isère Nord Communauté;38
243800604;Communauté d'agglomération Porte de l'Isère (CAPI);38
200040715;Grenoble-Alpes-Métropole;38
200077014;Communauté d'agglomération Vienne Condrieu;38
243801024;Communauté de communes du Massif du Vercors;38
200040111;Communauté de communes Cœur de Chartreuse;38
200010650;Communauté d'agglomération du Grand Dole;39
200071595;Communauté de communes Arbois, Poligny, Salins, Cœur du Jura;39
200090579;Communauté de communes Terre d'Émeraude Communauté;39
200069623;Communauté de communes Champagnole Nozeroy Jura;39
243901089;Communauté de communes de la Plaine Jurassienne;39
200069615;Communauté de communes Bresse Haute Seille;39
200072056;Communauté de communes Porte du Jura;39
243900420;Communauté de communes du Val d'Amour;39
200026573;Communauté de communes Haut-Jura Saint-Claude;39
243900560;Communauté de communes Jura Nord;39
200071116;Communauté d'agglomération ECLA  (Espace Communautaire Lons Agglomération);39
243900479;Communauté de communes Haut-Jura Arcade Communauté;39
243900354;Communauté de communes de la Station des Rousses-Haut Jura;39
243900610;Communauté de communes La Grandvallière;39
200030435;Communauté de communes d'Aire-sur-l'Adour;40
244000881;Communauté de communes Coteaux et Vallées des Luys;40
244000675;Communauté d'agglomération du Grand Dax;40
244000865;Communauté de communes Maremne Adour Côte Sud;40
200069649;Communauté de communes Chalosse Tursan;40
244000691;Communauté de communes du Pays Morcenais;40
200069656;Communauté de communes Cœur Haute Lande;40
244000824;Communauté de communes du Pays Grenadois;40
244000774;Communauté de communes du Pays de Villeneuve en Armagnac Landais;40
200035541;Communauté de communes des Landes d'Armagnac;40
244000766;Communauté de communes du Pays Tarusate;40
244000543;Communauté de communes de Mimizan;40
200069631;Communauté de communes Terres de Chalosse;40
